
  Page anchor parity — 320 page renders (20 universes × 8 pages × 2 viewports) — commit 45569d9a, the fix, rendered from page-anchor-parity.json

  ✅ PASS   390  edinburgh  music        anchor=left   mark:left@24 paragraph:left@24
  ✅ PASS   390  edinburgh  stay         anchor=left   mark:left@24 paragraph:left@24
  ✅ PASS   390  edinburgh  transport    anchor=left   mark:left@24 paragraph:left@24
  ✅ PASS   390  monaco     home         anchor=left   mark:left@24 heading:left@24 paragraph:left@24 quote:left@24
  ✅ PASS   390  monaco     our-story    anchor=left   mark:left@32 paragraph:left@32
  ✅ PASS   390  monaco     celebration  anchor=left   mark:left@32 heading:left@32
  ✅ PASS   390  monaco     rsvp         anchor=left   mark:left@24 heading:left@24 paragraph:left@24
  ✅ PASS   390  monaco     registry     anchor=left   mark:left@24 paragraph:left@24
  ✅ PASS   390  monaco     music        anchor=left   mark:left@24 paragraph:left@24
  ✅ PASS   390  monaco     stay         anchor=left   mark:left@24 paragraph:left@24
  ✅ PASS   390  monaco     transport    anchor=left   mark:left@24 paragraph:left@24
  ✅ PASS   390  florence   home         anchor=left   mark:left@24 heading:left@24 paragraph:left@24 quote:left@24
  ✅ PASS   390  florence   our-story    anchor=left   mark:left@32 paragraph:left@32
  ✅ PASS   390  florence   celebration  anchor=left   mark:left@32 heading:left@32
  ✅ PASS   390  florence   rsvp         anchor=left   mark:left@24 heading:left@24 paragraph:left@24
  ✅ PASS   390  florence   registry     anchor=left   mark:left@24 paragraph:left@24
  ✅ PASS   390  florence   music        anchor=left   mark:left@24 paragraph:left@24
  ✅ PASS   390  florence   stay         anchor=left   mark:left@24 paragraph:left@24
  ✅ PASS   390  florence   transport    anchor=left   mark:left@24 paragraph:left@24
  ✅ PASS   390  seoul      home         anchor=left   mark:left@24 heading:left@24 paragraph:left@24 quote:left@24
  ✅ PASS   390  seoul      our-story    anchor=left   mark:left@32 paragraph:left@32
  ✅ PASS   390  seoul      celebration  anchor=left   mark:left@32 heading:left@32
  ✅ PASS   390  seoul      rsvp         anchor=left   mark:left@24 heading:left@24 paragraph:left@24
  ✅ PASS   390  seoul      registry     anchor=left   mark:left@24 paragraph:left@24
  ✅ PASS   390  seoul      music        anchor=left   mark:left@24 paragraph:left@24
  ✅ PASS   390  seoul      stay         anchor=left   mark:left@24 paragraph:left@24
  ✅ PASS   390  seoul      transport    anchor=left   mark:left@24 paragraph:left@24
  ✅ PASS   390  shanghai   home         anchor=left   mark:left@24 heading:left@24 paragraph:left@24 quote:left@24
  ✅ PASS   390  shanghai   our-story    anchor=left   mark:left@32 paragraph:left@32
  ✅ PASS   390  shanghai   celebration  anchor=left   mark:left@32 heading:left@32
  ✅ PASS   390  shanghai   rsvp         anchor=left   mark:left@24 heading:left@24 paragraph:left@24
  ✅ PASS   390  shanghai   registry     anchor=left   mark:left@24 paragraph:left@24
  ✅ PASS   390  shanghai   music        anchor=left   mark:left@24 paragraph:left@24
  ✅ PASS   390  shanghai   stay         anchor=left   mark:left@24 paragraph:left@24
  ✅ PASS   390  shanghai   transport    anchor=left   mark:left@24 paragraph:left@24
  ✅ PASS  1440  london     home         anchor=center mark:center@720 heading:center@720 paragraph:center@722 quote:center@720
  ✅ PASS  1440  london     our-story    anchor=center mark:center@720 paragraph:center@723
  ✅ PASS  1440  london     celebration  anchor=center mark:center@720 heading:center@720
  ✅ PASS  1440  london     rsvp         anchor=center mark:center@720 heading:center@720 paragraph:center@720
  ✅ PASS  1440  london     registry     anchor=center mark:center@720 paragraph:center@720
  ✅ PASS  1440  london     music        anchor=center mark:center@720 paragraph:center@720
  ✅ PASS  1440  london     stay         anchor=center mark:center@720 paragraph:center@720
  ✅ PASS  1440  london     transport    anchor=center mark:center@720 paragraph:center@720
  ✅ PASS  1440  tulum      home         anchor=center mark:center@720 heading:center@720 paragraph:center@722 quote:center@720
  ✅ PASS  1440  tulum      our-story    anchor=center mark:center@720 paragraph:center@723
  ✅ PASS  1440  tulum      celebration  anchor=center mark:center@720 heading:center@720
  ✅ PASS  1440  tulum      rsvp         anchor=center mark:center@720 paragraph:center@720
  ✅ PASS  1440  tulum      registry     anchor=center mark:center@720 paragraph:center@720
  ✅ PASS  1440  tulum      music        anchor=center mark:center@720 paragraph:center@720
  ✅ PASS  1440  tulum      stay         anchor=center mark:center@720 paragraph:center@720
  ✅ PASS  1440  tulum      transport    anchor=center mark:center@720 paragraph:center@720
  ✅ PASS  1440  kyoto      home         anchor=left   mark:left@360 heading:left@360 paragraph:left@360 quote:left@360
  ✅ PASS  1440  kyoto      our-story    anchor=left   mark:left@400 paragraph:left@400
  ✅ PASS  1440  kyoto      celebration  anchor=left   mark:left@232 heading:left@232
  ✅ PASS  1440  kyoto      rsvp         anchor=left   mark:left@500 heading:left@500 paragraph:left@500
  ✅ PASS  1440  kyoto      registry     anchor=left   mark:left@370 paragraph:left@370
  ✅ PASS  1440  kyoto      music        anchor=left   mark:left@320 paragraph:left@320
  ✅ PASS  1440  kyoto      stay         anchor=left   mark:left@290 paragraph:left@290
  ✅ PASS  1440  kyoto      transport    anchor=left   mark:left@290 paragraph:left@290
  ✅ PASS  1440  capri      home         anchor=left   mark:left@360 heading:left@360 paragraph:left@360 quote:left@360
  ✅ PASS  1440  capri      our-story    anchor=left   mark:left@340 paragraph:left@340
  ✅ PASS  1440  capri      celebration  anchor=left   mark:left@232 heading:left@232
  ✅ PASS  1440  capri      rsvp         anchor=left   mark:left@480 heading:left@480 paragraph:left@480
  ✅ PASS  1440  capri      registry     anchor=left   mark:left@370 paragraph:left@370
  ✅ PASS  1440  capri      music        anchor=left   mark:left@320 paragraph:left@320
  ✅ PASS  1440  capri      stay         anchor=left   mark:left@290 paragraph:left@290
  ✅ PASS  1440  capri      transport    anchor=left   mark:left@290 paragraph:left@290
  ✅ PASS  1440  marrakech  home         anchor=left   mark:left@360 heading:left@360 paragraph:left@360 quote:left@360
  ✅ PASS  1440  marrakech  our-story    anchor=left   mark:left@500 paragraph:left@500
  ✅ PASS  1440  marrakech  celebration  anchor=left   mark:left@232 heading:left@232
  ✅ PASS  1440  marrakech  rsvp         anchor=left   mark:left@460 heading:left@460 paragraph:left@460
  ✅ PASS  1440  marrakech  registry     anchor=left   mark:left@370 paragraph:left@370
  ✅ PASS  1440  marrakech  music        anchor=left   mark:left@320 paragraph:left@320
  ✅ PASS  1440  marrakech  stay         anchor=left   mark:left@290 paragraph:left@290
  ✅ PASS  1440  marrakech  transport    anchor=left   mark:left@290 paragraph:left@290
  ✅ PASS  1440  brooklyn   home         anchor=left   mark:left@360 heading:left@360 paragraph:left@360 quote:left@360
  ✅ PASS  1440  brooklyn   our-story    anchor=left   mark:left@270 paragraph:left@270
  ✅ PASS  1440  brooklyn   celebration  anchor=left   mark:left@232 heading:left@232
  ✅ PASS  1440  brooklyn   rsvp         anchor=left   mark:left@480 heading:left@480 paragraph:left@480
  ✅ PASS  1440  brooklyn   registry     anchor=left   mark:left@370 paragraph:left@370
  ✅ PASS  1440  brooklyn   music        anchor=left   mark:left@320 paragraph:left@320
  ✅ PASS  1440  brooklyn   stay         anchor=left   mark:left@290 paragraph:left@290
  ✅ PASS  1440  brooklyn   transport    anchor=left   mark:left@290 paragraph:left@290
  ✅ PASS  1440  bali       home         anchor=left   mark:left@360 heading:left@360 paragraph:left@360 quote:left@360
  ✅ PASS  1440  bali       our-story    anchor=left   mark:left@330 paragraph:left@330
  ✅ PASS  1440  bali       celebration  anchor=left   mark:left@232 heading:left@232
  ✅ PASS  1440  bali       rsvp         anchor=left   mark:left@460 heading:left@460 paragraph:left@460
  ✅ PASS  1440  bali       registry     anchor=left   mark:left@370 paragraph:left@370
  ✅ PASS  1440  bali       music        anchor=left   mark:left@320 paragraph:left@320
  ✅ PASS  1440  bali       stay         anchor=left   mark:left@290 paragraph:left@290
  ✅ PASS  1440  bali       transport    anchor=left   mark:left@290 paragraph:left@290
  ✅ PASS  1440  paris      home         anchor=center mark:center@720 heading:center@720 paragraph:center@722 quote:center@720
  ✅ PASS  1440  paris      our-story    anchor=center mark:center@720 paragraph:center@723
  ✅ PASS  1440  paris      celebration  anchor=center mark:center@720 heading:center@720
  ✅ PASS  1440  paris      rsvp         anchor=center mark:center@720 heading:center@720 paragraph:center@720
  ✅ PASS  1440  paris      registry     anchor=center mark:center@720 paragraph:center@720
  ✅ PASS  1440  paris      music        anchor=center mark:center@720 paragraph:center@720
  ✅ PASS  1440  paris      stay         anchor=center mark:center@720 paragraph:center@720
  ✅ PASS  1440  paris      transport    anchor=center mark:center@720 paragraph:center@720
  ✅ PASS  1440  capetown   home         anchor=left   mark:left@360 heading:left@360 paragraph:left@360 quote:left@360
  ✅ PASS  1440  capetown   our-story    anchor=left   mark:left@360 paragraph:left@360
  ✅ PASS  1440  capetown   celebration  anchor=left   mark:left@232 heading:left@232
  ✅ PASS  1440  capetown   rsvp         anchor=left   mark:left@480 heading:left@480 paragraph:left@480
  ✅ PASS  1440  capetown   registry     anchor=left   mark:left@370 paragraph:left@370
  ✅ PASS  1440  capetown   music        anchor=left   mark:left@320 paragraph:left@320
  ✅ PASS  1440  capetown   stay         anchor=left   mark:left@290 paragraph:left@290
  ✅ PASS  1440  capetown   transport    anchor=left   mark:left@290 paragraph:left@290
  ✅ PASS  1440  mykonos    home         anchor=left   mark:left@360 heading:left@360 paragraph:left@360 quote:left@360
  ✅ PASS  1440  mykonos    our-story    anchor=left   mark:left@340 paragraph:left@340
  ✅ PASS  1440  mykonos    celebration  anchor=left   mark:left@232 heading:left@232
  ✅ PASS  1440  mykonos    rsvp         anchor=left   mark:left@490 heading:left@490 paragraph:left@490
  ✅ PASS  1440  mykonos    registry     anchor=left   mark:left@370 paragraph:left@370
  ✅ PASS  1440  mykonos    music        anchor=left   mark:left@320 paragraph:left@320
  ✅ PASS  1440  mykonos    stay         anchor=left   mark:left@290 paragraph:left@290
  ✅ PASS  1440  mykonos    transport    anchor=left   mark:left@290 paragraph:left@290
  ✅ PASS  1440  amalfi     home         anchor=left   mark:left@360 heading:left@360 paragraph:left@360 quote:left@360
